"temp" "B" "T" "M" "R"
-2 0.955437085543911 1.84316247984691e-08 2.87305056380243e-08 0.0445628672939585
-1.98391959798995 0.955471919939177 0 0 0.044528080060823
-1.9678391959799 0.955512005231651 4.36190645960266e-08 8.43099565625056e-08 0.0444878668393278
-1.95175879396985 0.955557741167804 2.80098498773965e-09 5.20868320251231e-09 0.0444422508225278
-1.9356783919598 0.955608656850517 3.95402095679163e-08 6.50618083261201e-08 0.0443912385474651
-1.91959798994975 0.955665173814602 0 0 0.044334826185398
-1.9035175879397 0.955726903197207 5.25654660149398e-10 0 0.0442730962771384
-1.88743718592965 0.955794065101128 0 0 0.044205934898872
-1.8713567839196 0.955866442781744 0 0 0.044133557218256
-1.85527638190955 0.955944100516436 0 0 0.044055899483564
-1.8391959798995 0.956027012384597 0 0 0.043972987615403
-1.82311557788945 0.956115112900566 2.241970694392e-08 4.11284221206811e-08 0.0438848235513049
-1.8070351758794 0.956208493464063 1.67833575509669e-08 2.93306040558053e-08 0.0437914604219753
-1.79095477386935 0.956306983819656 3.21193136608523e-08 5.73075706479586e-08 0.0436929267534597
-1.7748743718593 0.95641063762089 3.54457810545069e-08 6.71561404313456e-08 0.0435892597771885
-1.75879396984925 0.956519343125846 5.45697813003911e-08 1.03424351609771e-07 0.0434804988800211
-1.7427135678392 0.956633177987367 4.90453673456006e-08 9.03018460744917e-08 0.0433666826654195
-1.72663316582915 0.956752023889704 4.46757043840672e-08 8.40998138532979e-08 0.0432478473347777
-1.7105527638191 0.956875773525876 6.46041227626137e-08 1.22756597931619e-07 0.0431240391134032
-1.69447236180905 0.9570046389338 2.25012205834618e-08 4.30000776649243e-08 0.0429952955649018
-1.67839195979899 0.957138187359042 4.91641361073119e-08 9.49779895298681e-08 0.0428616684988323
-1.66231155778894 0.957276705876097 3.11290903872351e-08 6.34828193501055e-08 0.0427231995119932
-1.64623115577889 0.957419766511581 9.79170944124928e-08 1.92876289749605e-07 0.0425799426950348
-1.63015075376884 0.957567918677341 4.76033633709345e-08 9.5161264793573e-08 0.0424319385580308
-1.61407035175879 0.957720486578033 8.82477755119199e-08 1.77652060029446e-07 0.0422792475221314
-1.59798994974874 0.957877967332184 3.8803005870747e-08 7.84933833394925e-08 0.0421219153714268
-1.58190954773869 0.958039918161165 2.6520875583093e-08 5.43393842036802e-08 0.0419600009785752
-1.56582914572864 0.958206247741228 6.21735561125347e-08 1.28688503712771e-07 0.0417935613967122
-1.54974874371859 0.95837709872862 8.07966584545641e-08 1.69110246216763e-07 0.0416226513644753
-1.53366834170854 0.95855223914923 1.37865247931873e-07 2.91038139907314e-07 0.0414473319473821
-1.51758793969849 0.958731753804427 1.89409014938576e-07 4.0383950761442e-07 0.0412676529470505
-1.50150753768844 0.958915926162677 1.20352667766307e-07 2.59145345954263e-07 0.0410836943393094
-1.48542713567839 0.959104062120871 1.36439617632723e-07 2.96702154128276e-07 0.0408955047373573
-1.46934673366834 0.959296121898796 2.27771136012671e-07 5.00241893437123e-07 0.0407031500881746
-1.45326633165829 0.959492565929345 2.26829392978855e-07 5.03139645340745e-07 0.0405067041016167
-1.43718592964824 0.959692652124899 3.46025391014892e-07 7.75200132985809e-07 0.0403062266495771
-1.42110552763819 0.959884244783196 4.23309573780669e-06 9.57833395450445e-06 0.0401019437871117
-1.40502512562814 0.959733266537149 0.000112212968903466 0.000256421409052327 0.0398980990848953
